Player,G,MP,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Damyean Dotson\dotsoda01,48,17.4,.414,.362,.516,1.9,1.2,0.5,0.1,6.7
Sekou Doumbouya\doumbse01,38,19.8,.390,.286,.449,3.1,0.5,0.5,0.2,6.4
PJ Dozier\doziepj01,29,14.2,.414,.347,.468,1.9,2.2,0.5,0.2,5.8
Goran Dragić\dragigo01,59,28.2,.441,.367,.526,3.2,5.1,0.7,0.2,16.2
Andre Drummond\drumman01,57,33.0,.533,.143,.536,15.2,2.7,1.9,1.6,17.7
Andre Drummond\drumman01,49,33.8,.530,.048,.531,15.8,2.8,2.0,1.7,17.8
Andre Drummond\drumman01,8,28.1,.552,.286,.571,11.1,1.8,1.5,1.4,17.5
Jared Dudley\dudleja01,45,8.1,.400,.429,.550,1.2,0.6,0.3,0.1,1.5
Kris Dunn\dunnkr01,51,24.9,.444,.259,.487,3.6,3.4,2.0,0.3,7.3
Carsen Edwards\edwarca01,37,9.5,.328,.316,.422,1.3,0.6,0.3,0.1,3.3
Henry Ellenson\ellenhe01,5,3.0,.143,.000,.143,1.2,0.2,0.0,0.0,0.4
Wayne Ellington\ellinwa01,36,15.5,.351,.350,.494,1.8,1.2,0.4,0.1,5.1
Joel Embiid\embiijo01,51,29.5,.477,.331,.512,11.6,3.0,0.9,1.3,23.0
James Ennis III\ennisja01,69,18.3,.446,.325,.522,3.6,0.9,0.5,0.3,6.6
James Ennis III\ennisja01,49,15.8,.442,.349,.524,3.1,0.8,0.5,0.3,5.8
James Ennis III\ennisja01,20,24.5,.451,.286,.519,4.8,1.1,0.6,0.4,8.5
Drew Eubanks\eubandr01,22,12.4,.642,1.000,.649,3.9,0.7,0.2,0.8,4.9
Jacob Evans\evansja02,29,14.4,.336,.333,.384,1.4,1.1,0.4,0.4,4.4
Jacob Evans\evansja02,27,15.3,.338,.342,.387,1.5,1.1,0.4,0.4,4.7
Jacob Evans\evansja02,2,2.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0
Dante Exum\exumda01,35,13.9,.471,.349,.534,1.9,1.1,0.4,0.2,4.5
Dante Exum\exumda01,11,7.5,.435,.333,.478,1.1,0.6,0.1,0.2,2.2
Dante Exum\exumda01,24,16.8,.479,.351,.547,2.3,1.4,0.5,0.3,5.6
Tacko Fall\fallta01,7,4.7,.786,,.786,2.1,0.1,0.1,0.6,3.3
Derrick Favors\favorde01,51,24.4,.617,.143,.618,9.8,1.6,0.6,0.9,9.0
Cristiano Felício\feliccr01,22,17.5,.630,.000,.630,4.6,0.7,0.5,0.1,3.9
Terrance Ferguson\fergute01,56,22.4,.355,.292,.466,1.3,0.9,0.5,0.3,3.9
Bruno Fernando\fernabr01,56,12.7,.518,.135,.530,3.5,0.9,0.3,0.3,4.3
Yogi Ferrell\ferreyo01,50,10.6,.420,.304,.484,1.0,1.4,0.4,0.1,4.4
Dorian Finney-Smith\finnedo01,71,29.9,.466,.376,.575,5.7,1.6,0.6,0.5,9.5
Bryn Forbes\forbebr01,63,25.1,.417,.388,.544,2.0,1.7,0.5,0.0,11.2
Evan Fournier\fournev01,66,31.5,.467,.399,.560,2.6,3.2,1.1,0.2,18.5
De'Aaron Fox\foxde01,51,32.0,.480,.292,.513,3.8,6.8,1.5,0.5,21.1
Melvin Frazier\frazime01,19,6.6,.441,.500,.559,0.5,0.2,0.5,0.1,2.1
Michael Frazier\frazimi01,13,11.2,.241,.174,.310,0.8,0.2,0.2,0.0,2.1
Tim Frazier\fraziti01,27,13.1,.362,.333,.415,1.2,3.4,0.5,0.1,3.6
Enes Freedom\kanteen01,58,16.9,.572,.143,.573,7.4,1.0,0.4,0.7,8.1
Markelle Fultz\fultzma01,72,27.7,.465,.267,.488,3.3,5.1,1.3,0.2,12.1
Wenyen Gabriel\gabriwe01,30,7.8,.438,.300,.500,1.7,0.3,0.4,0.2,2.1
Wenyen Gabriel\gabriwe01,11,5.5,.353,.125,.382,0.9,0.3,0.3,0.2,1.7
Wenyen Gabriel\gabriwe01,19,9.2,.484,.417,.565,2.2,0.3,0.4,0.3,2.3
Daniel Gafford\gaffoda01,43,14.2,.701,,.701,2.5,0.5,0.3,1.3,5.1
Danilo Gallinari\gallida01,62,29.6,.438,.405,.547,5.2,1.9,0.7,0.1,18.7
Langston Galloway\gallola01,66,25.8,.435,.399,.557,2.3,1.5,0.7,0.2,10.3
Darius Garland\garlada01,59,30.9,.401,.355,.476,1.9,3.9,0.7,0.1,12.3
Marc Gasol\gasolma01,44,26.4,.427,.385,.529,6.3,3.3,0.8,0.9,7.5
Rudy Gay\gayru01,67,21.8,.446,.336,.508,5.4,1.7,0.5,0.5,10.8
Paul George\georgpa01,48,29.6,.439,.412,.539,5.7,3.9,1.4,0.4,21.5
Taj Gibson\gibsota01,62,16.5,.584,.286,.591,4.3,0.8,0.4,0.5,6.1
Harry Giles\gilesha01,46,14.5,.554,.000,.554,4.1,1.3,0.5,0.4,6.9
Shai Gilgeous-Alexander\gilgesh01,70,34.7,.471,.347,.514,5.9,3.3,1.1,0.7,19.0
Rudy Gobert\goberru01,68,34.3,.693,,.693,13.5,1.5,0.8,2.0,15.1
