Player,PER,TS%,WS,BPM,VORP
Donta Hall\halldo01,13.6,.652,0.4,-3.9,-0.1
Donta Hall\halldo01,7.3,.452,0.1,-7.0,-0.1
Donta Hall\halldo01,17.2,.709,0.3,-2.1,0.0
Dusty Hannahs\hannadu01,21.3,.607,0.0,3.1,0.0
Tim Hardaway Jr.\hardati02,14.5,.581,4.4,-0.1,1.0
James Harden\hardeja01,29.1,.626,13.1,9.6,7.3
Maurice Harkless\harklma01,9.8,.572,2.7,-0.7,0.5
Maurice Harkless\harklma01,9.7,.584,2.3,0.0,0.6
Maurice Harkless\harklma01,10.1,.536,0.4,-3.5,-0.1
Jared Harper\harpeja01,-5.3,.250,0.0,-15.7,0.0
Montrezl Harrell\harremo01,23.2,.607,7.0,2.9,2.2
Gary Harris\harriga01,9.7,.519,1.9,-2.5,-0.2
Joe Harris\harrijo01,13.3,.606,4.3,-0.2,1.0
Tobias Harris\harrito02,17.2,.556,6.2,0.8,1.8
Shaquille Harrison\harrish01,17.8,.559,1.5,2.8,0.6
Josh Hart\hartjo01,11.9,.563,3.1,-0.7,0.6
Isaiah Hartenstein\harteis01,18.6,.674,1.1,0.3,0.2
Udonis Haslem\hasleud01,6.5,.470,0.0,-7.4,-0.1
Jaxson Hayes\hayesja02,17.6,.689,3.9,-0.3,0.5
Gordon Hayward\haywago01,18.1,.595,5.7,2.7,2.0
John Henson\hensojo01,17.0,.578,1.4,0.9,0.4
John Henson\hensojo01,16.9,.539,0.9,1.1,0.3
John Henson\hensojo01,17.1,.670,0.4,0.5,0.1
Dewan Hernandez\hernade01,12.9,.432,0.0,-9.6,-0.1
Juancho Hernangómez\hernaju01,10.4,.518,0.9,-3.4,-0.3
Juancho Hernangómez\hernaju01,6.9,.442,0.1,-5.2,-0.3
Juancho Hernangómez\hernaju01,14.1,.576,0.8,-1.5,0.1
Willy Hernangómez\hernawi01,19.2,.576,0.8,0.1,0.2
Tyler Herro\herroty01,12.5,.550,1.6,-1.6,0.1
Kevin Hervey\herveke01,5.0,.315,-0.1,-5.1,0.0
Mario Hezonja\hezonma01,9.5,.525,0.8,-2.9,-0.2
Buddy Hield\hieldbu01,16.0,.566,3.0,1.1,1.7
George Hill\hillge01,16.9,.659,5.5,2.9,1.6
Solomon Hill\hillso01,9.8,.535,1.4,-1.7,0.1
Solomon Hill\hillso01,10.2,.549,1.4,-1.4,0.1
Solomon Hill\hillso01,8.1,.471,0.1,-2.8,0.0
Jaylen Hoard\hoardja01,14.9,.504,0.2,-2.1,0.0
Aaron Holiday\holidaa01,11.6,.521,2.1,-1.6,0.2
Jrue Holiday\holidjr01,17.0,.537,3.9,1.8,2.0
Justin Holiday\holidju01,12.1,.585,4.2,1.3,1.5
Rondae Hollis-Jefferson\holliro01,15.1,.533,3.4,0.3,0.6
Richaun Holmes\holmeri01,19.7,.681,4.9,1.0,0.9
Rodney Hood\hoodro01,12.2,.625,1.1,-0.9,0.2
Al Horford\horfoal01,15.7,.536,5.4,2.2,2.2
Talen Horton-Tucker\hortota01,12.3,.535,0.1,-2.1,0.0
Danuel House Jr.\houseda01,11.3,.572,3.6,-0.7,0.6
Dwight Howard\howardw01,18.7,.696,5.4,0.2,0.7
William Howard\howarwi01,-12.7,.000,-0.1,-19.6,-0.1
Kevin Huerter\huertke01,11.5,.536,1.6,-1.6,0.2
De'Andre Hunter\huntede01,8.6,.521,0.1,-4.7,-1.4
Chandler Hutchison\hutchch01,12.4,.521,0.7,-2.6,-0.1
Serge Ibaka\ibakase01,17.3,.583,3.9,0.1,0.8
Andre Iguodala\iguodan01,10.5,.507,0.6,-0.5,0.2
Ersan İlyasova\ilyaser01,14.9,.589,3.6,0.4,0.6
Joe Ingles\inglejo01,12.6,.595,4.8,0.7,1.5
Brandon Ingram\ingrabr01,18.8,.587,5.1,2.1,2.2
Kyrie Irving\irvinky01,26.2,.595,2.9,7.7,1.6
Jonathan Isaac\isaacjo01,17.3,.552,2.5,2.3,1.1
Wes Iwundu\iwundwe01,10.3,.544,1.7,-2.6,-0.2
Frank Jackson\jacksfr01,9.1,.510,0.2,-5.5,-0.7
Jaren Jackson Jr.\jacksja02,16.3,.593,3.5,0.4,1.0
Josh Jackson\jacksjo02,14.1,.547,0.5,0.1,0.2
Justin Jackson\jacksju01,9.5,.496,1.2,-3.4,-0.4
Reggie Jackson\jacksre01,13.7,.529,1.1,-0.3,0.3
Reggie Jackson\jacksre01,14.7,.492,0.4,-0.5,0.1
Reggie Jackson\jacksre01,12.6,.587,0.8,-0.2,0.2
Justin James\jamesju01,11.0,.477,0.1,-1.4,0.0
LeBron James\jamesle01,25.5,.577,9.8,8.4,6.1
Amile Jefferson\jeffeam01,8.9,.372,0.0,-5.8,-0.1
DaQuan Jeffries\jeffrda01,11.2,.586,0.3,-3.8,-0.1
Ty Jerome\jeromty01,7.9,.425,0.0,-3.7,-0.1
Alize Johnson\johnsal02,13.3,.509,0.3,-1.6,0.0
B.J. Johnson\johnsbj01,5.4,.412,-0.1,-9.0,-0.1
Cameron Johnson\johnsca02,12.9,.586,2.7,0.3,0.7
James Johnson\johnsja01,14.8,.572,1.1,0.0,0.3
James Johnson\johnsja01,11.1,.547,0.4,-1.8,0.0
James Johnson\johnsja01,17.9,.588,0.8,1.6,0.3
Keldon Johnson\johnske04,19.1,.711,1.1,1.5,0.3
Stanley Johnson\johnsst04,9.9,.454,0.0,-2.5,0.0
Tyler Johnson\johnsty01,10.1,.504,0.7,-2.9,-0.2
Tyler Johnson\johnsty01,8.1,.481,0.2,-3.6,-0.2
Tyler Johnson\johnsty01,15.6,.552,0.6,-1.1,0.0
Nikola Jokić\jokicni01,24.9,.605,9.8,7.4,5.5
Damian Jones\jonesda03,15.6,.712,2.8,-1.5,0.1
Derrick Jones Jr.\jonesde02,14.9,.620,4.4,0.7,1.0
Tyus Jones\jonesty01,15.7,.532,3.0,0.6,0.8
DeAndre Jordan\jordade01,19.9,.682,5.2,3.0,1.5
Cory Joseph\josepco01,10.1,.517,2.3,-2.0,0.0
Mfiondu Kabengele\kabenmf01,18.2,.614,0.2,2.2,0.1
Frank Kaminsky\kaminfr01,14.2,.545,1.4,-0.5,0.3
Luke Kennard\kennalu01,14.4,.589,1.9,-0.3,0.4
Stanton Kidd\kiddst01,-13.7,.000,-0.1,-17.6,-0.1
Michael Kidd-Gilchrist\kiddgmi01,4.2,.416,-0.2,-7.4,-0.4
Michael Kidd-Gilchrist\kiddgmi01,6.1,.421,-0.1,-6.9,-0.2
Michael Kidd-Gilchrist\kiddgmi01,1.7,.395,-0.1,-8.0,-0.2
Louis King\kinglo02,6.2,.448,0.0,-6.2,-0.1
Maxi Kleber\klebima01,13.6,.605,4.8,0.4,1.1
Brandon Knight\knighbr03,8.5,.503,-0.1,-4.4,-0.3
Brandon Knight\knighbr03,5.4,.431,-0.3,-6.5,-0.3
Brandon Knight\knighbr03,11.9,.576,0.2,-2.0,0.0
Kevin Knox\knoxke01,8.3,.470,0.2,-4.2,-0.7
John Konchar\konchjo01,18.0,.713,0.7,4.5,0.3
Furkan Korkmaz\korkmfu01,12.0,.579,2.8,-1.3,0.3
Luke Kornet\kornelu01,12.7,.539,1.1,-1.2,0.1
Kyle Korver\korveky01,11.3,.620,2.5,0.1,0.5
Rodions Kurucs\kurucro01,8.9,.555,0.8,-2.8,-0.1
Kyle Kuzma\kuzmaky01,12.2,.531,2.0,-2.6,-0.2
Skal Labissière\labissk01,15.4,.588,1.4,-1.3,0.1
Jeremy Lamb\lambje01,14.0,.547,2.7,-0.4,0.5
Romeo Langford\langfro01,5.4,.434,0.2,-4.9,-0.3
Zach LaVine\lavinza01,19.4,.568,4.0,2.5,2.4
Vic Law\lawvi01,3.7,.363,-0.1,-9.6,-0.1
Jake Layman\laymaja01,10.3,.544,0.3,-3.7,-0.2
T.J. Leaf\leaftj01,12.9,.451,0.3,-2.4,0.0
Jalen Lecque\lecquja01,2.7,.460,0.0,-9.5,-0.1
Courtney Lee\leeco01,10.8,.629,0.7,-0.6,0.1
Damion Lee\leeda03,12.7,.548,1.7,-2.3,-0.1
Alex Len\lenal01,17.7,.600,2.5,-0.7,0.3
Alex Len\lenal01,17.5,.590,1.8,-0.4,0.3
Alex Len\lenal01,18.2,.640,0.7,-1.6,0.0
Kawhi Leonard\leonaka01,26.9,.589,8.7,8.9,5.1
Meyers Leonard\leoname01,10.6,.627,2.1,-0.9,0.3
Caris LeVert\leverca01,16.1,.514,1.5,-0.3,0.5
Damian Lillard\lillada01,26.9,.627,11.6,7.5,5.9
Nassir Little\littlna01,9.6,.505,0.6,-3.5,-0.2
Kevon Looney\looneke01,9.4,.403,0.0,-5.6,-0.2
Brook Lopez\lopezbr01,15.0,.551,5.5,2.0,1.9
Robin Lopez\lopezro01,10.2,.554,1.5,-2.6,-0.2
Kevin Love\loveke01,17.9,.599,3.8,2.0,1.8
Kyle Lowry\lowryky01,17.7,.590,7.5,3.2,2.8
Timothé Luwawu-Cabarrot\luwawti01,11.0,.599,1.7,-2.2,-0.1
Trey Lyles\lylestr01,12.6,.557,2.2,-1.2,0.3
Daryl Macon\maconda01,-3.1,.500,0.0,-12.0,0.0
J.P. Macura\macurjp01,0.0,,0.0,-6.4,0.0
Josh Magette\magetjo01,5.1,.378,-0.1,-6.2,0.0
Ian Mahinmi\mahinia01,14.2,.545,1.4,-2.7,-0.2
Thon Maker\makerth01,13.7,.582,1.5,-1.4,0.1
Terance Mann\mannte01,10.6,.545,0.8,-1.5,0.0
Boban Marjanović\marjabo01,25.7,.612,1.8,1.2,0.3
Lauri Markkanen\markkla01,14.3,.560,2.6,-0.6,0.5
Caleb Martin\martica02,12.0,.595,0.5,-1.0,0.1
Cody Martin\martico01,10.5,.505,1.0,-2.1,0.0
Jeremiah Martin\martije02,21.8,.541,0.4,3.2,0.1
Kelan Martin\martike03,9.2,.506,0.2,-4.3,-0.3
Frank Mason III\masonfr01,16.9,.530,0.4,0.0,0.1
Garrison Mathews\mathega01,13.1,.691,0.6,-1.1,0.1
Wesley Matthews\matthwe02,8.1,.547,3.2,-1.8,0.1
Luc Mbah a Moute\mbahalu01,6.4,.425,0.0,-7.4,0.0
Patrick McCaw\mccawpa01,7.3,.500,1.4,-1.8,0.0
