Player,PER,TS%,WS,BPM,VORP
Brandon Ingram\ingrabr01,13.8,.536,2.8,-1.2,0.4
Kyrie Irving\irvinky01,25.0,.610,8.9,7.3,4.5
Jonathan Isaac\isaacjo01,9.8,.465,0.2,-1.4,0.1
Wes Iwundu\iwundwe01,7.8,.480,0.7,-4.3,-0.6
Jarrett Jack\jackja01,11.5,.489,1.2,-2.8,-0.3
Aaron Jackson\jacksaa01,2.4,.405,0.0,-8.9,-0.1
Demetrius Jackson\jacksde01,5.4,.424,-0.1,-5.2,-0.1
Demetrius Jackson\jacksde01,0.2,.286,-0.2,-8.5,-0.1
Demetrius Jackson\jacksde01,24.5,.820,0.1,7.3,0.0
Josh Jackson\jacksjo02,11.8,.480,-0.7,-4.2,-1.1
Justin Jackson\jacksju01,9.2,.521,1.0,-3.5,-0.6
Reggie Jackson\jacksre01,15.9,.516,2.0,-0.4,0.5
LeBron James\jamesle01,28.6,.621,14.0,8.7,8.2
Mike James\jamesmi02,13.9,.469,0.2,-1.5,0.1
Mike James\jamesmi02,14.2,.476,0.3,-1.2,0.1
Mike James\jamesmi02,3.5,.222,-0.1,-10.1,0.0
Al Jefferson\jeffeal01,20.2,.563,1.6,2.0,0.5
Richard Jefferson\jefferi01,6.4,.499,0.1,-4.3,-0.1
Brandon Jennings\jennibr01,12.7,.478,0.1,-3.4,-0.1
Jonas Jerebko\jerebjo01,13.2,.586,3.4,0.1,0.6
Amir Johnson\johnsam01,14.9,.575,4.1,1.0,0.9
Brice Johnson\johnsbr02,18.2,.486,0.2,-0.4,0.0
Brice Johnson\johnsbr02,21.3,.673,0.1,4.5,0.1
Brice Johnson\johnsbr02,16.2,.418,0.0,-3.6,0.0
Dakari Johnson\johnsda04,16.4,.575,0.6,-0.3,0.1
James Johnson\johnsja01,15.8,.575,5.0,1.6,1.7
Joe Johnson\johnsjo02,8.1,.490,1.0,-2.9,-0.3
Joe Johnson\johnsjo02,9.0,.492,0.6,-2.6,-0.1
Joe Johnson\johnsjo02,6.8,.485,0.4,-3.3,-0.2
Omari Johnson\johnsom01,10.5,.524,0.1,-4.5,0.0
Stanley Johnson\johnsst04,9.0,.480,1.8,-2.9,-0.4
Tyler Johnson\johnsty01,13.0,.549,4.2,-0.3,0.9
Wesley Johnson\johnswe01,9.8,.512,1.7,-0.7,0.5
Nikola Jokić\jokicni01,24.4,.603,10.7,6.9,5.5
Damian Jones\jonesda03,6.8,.517,0.1,-7.1,-0.1
Derrick Jones Jr.\jonesde02,10.1,.480,0.4,-2.7,0.0
Derrick Jones Jr.\jonesde02,18.4,.678,0.1,4.8,0.1
Derrick Jones Jr.\jonesde02,8.8,.457,0.3,-3.9,-0.1
Jalen Jones\jonesja04,10.3,.485,0.1,-6.0,-0.2
Jalen Jones\jonesja04,5.0,.512,0.0,-7.3,0.0
Jalen Jones\jonesja04,10.9,.483,0.1,-5.9,-0.2
Tyus Jones\jonesty01,14.1,.572,3.6,0.8,1.1
DeAndre Jordan\jordade01,20.2,.648,9.4,1.4,2.1
Cory Joseph\josepco01,11.0,.503,3.1,-1.5,0.3
Frank Kaminsky\kaminfr01,14.4,.545,3.6,-0.2,0.8
Luke Kennard\kennalu01,12.1,.560,2.6,-0.8,0.5
Michael Kidd-Gilchrist\kiddgmi01,12.5,.536,3.3,-2.1,-0.1
Sean Kilpatrick\kilpase01,11.6,.507,0.1,-2.8,-0.1
Sean Kilpatrick\kilpase01,4.9,.414,-0.4,-7.6,-0.3
Sean Kilpatrick\kilpase01,11.3,.515,0.1,-2.6,0.0
Sean Kilpatrick\kilpase01,10.5,.503,0.0,-4.5,0.0
Sean Kilpatrick\kilpase01,17.7,.574,0.4,1.3,0.2
Maxi Kleber\klebima01,13.4,.576,2.8,-0.5,0.5
Furkan Korkmaz\korkmfu01,3.4,.386,0.0,-7.6,-0.1
Luke Kornet\kornelu01,13.6,.516,0.5,0.2,0.2
Kyle Korver\korveky01,13.4,.652,3.4,0.2,0.9
Kosta Koufos\koufoko01,17.5,.566,3.9,-0.4,0.6
Kyle Kuzma\kuzmaky01,14.2,.549,3.8,-0.7,0.8
Mindaugas Kuzminskas\kuzmimi01,-41.1,.000,0.0,-54.7,0.0
Skal Labissière\labissk01,14.3,.513,1.4,-2.7,-0.2
Jeremy Lamb\lambje01,17.0,.559,4.9,1.6,1.8
Shane Larkin\larkish01,10.3,.491,1.4,-1.7,0.1
Joffrey Lauvergne\lauvejo01,16.5,.536,1.3,-1.0,0.1
Zach LaVine\lavinza01,14.6,.499,0.3,-2.3,-0.1
Jake Layman\laymaja01,4.9,.352,-0.1,-4.3,-0.1
T.J. Leaf\leaftj01,10.7,.545,0.8,-3.1,-0.1
Courtney Lee\leeco01,13.0,.564,3.9,-0.3,1.0
Damion Lee\leeda03,12.0,.489,0.4,-1.9,0.0
Walt Lemon Jr.\lemonwa01,6.9,.491,-0.1,-8.2,-0.1
Alex Len\lenal01,19.4,.612,4.5,0.3,0.8
Kawhi Leonard\leonaka01,26.0,.572,0.9,10.1,0.6
Meyers Leonard\leoname01,17.8,.676,1.1,2.0,0.3
