FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS,PER,TS%,WS,BPM,VORP,All-star
0.476,0.414,0.546,6,5.4,1.1,0.1,20.4,18.2,0.588,6.4,1.3,1.9,no
0.438,0.386,0.52,4.4,5.2,1,0.3,26.4,21.3,0.569,6.2,4.3,2.8,yes
0.449,0.303,0.487,4,7.4,0.9,0.2,19.1,16.7,0.537,3.2,-0.4,0.8,no
0.453,0.317,0.485,7.1,5.4,1.5,0.1,15.7,16.5,0.509,3.3,0.8,1.5,no
0.477,0.408,0.559,4,4.8,1.3,0.3,21.2,18.3,0.592,4.6,2,1.7,no
0.471,0.36,0.546,6.7,3.1,1.7,0.5,9.3,13.2,0.557,1.8,0.4,0.7,no
0.485,0.381,0.578,3.2,2.6,0.9,0.3,14.6,14.2,0.596,2.9,-0.5,0.6,no
0.444,0.385,0.58,6.8,2.5,0.8,0.5,7,9.9,0.599,5.6,1,1.7,no
0.42,0.29,0.476,3.1,1.9,0.9,0.4,9.6,7.9,0.514,0.9,-5.1,-1.7,no
0.439,0.316,0.501,6,1.3,1,0.8,15.4,13.3,0.529,2.2,-1.9,0,no
0.499,0.395,0.557,4.5,8.9,1.4,0.3,16.4,21.4,0.599,9.2,4.6,3.6,yes
0.542,0.445,0.646,7.3,1.1,0.7,0.9,19,20.6,0.663,6.9,3.1,2.5,no
0.476,0.376,0.547,8.9,1.6,0.5,1.3,20.1,21.3,0.582,4.3,2.2,1.4,no
0.477,0.411,0.57,3.1,1.9,1.2,0.3,18.6,16.2,0.618,4.7,0.4,1.3,no
0.456,0.411,0.516,10.2,6,0.9,0.3,24.1,19.7,0.567,7.8,3.8,3.9,yes
0.427,0.33,0.498,3.3,2.6,1,0.4,12.1,11.9,0.537,2.4,-1.7,0.1,no
0.439,0.408,0.614,3.5,1.8,0.6,0.3,13.1,11,0.628,3.7,-1,0.6,no
0.412,0.337,0.485,3.4,2.3,1,0.5,15.6,13.2,0.53,0.9,-2.3,-0.1,no
0.45,0.389,0.548,4.4,4.2,1.3,0.4,20.4,17.1,0.575,5.2,1.6,2.2,no
0.535,0.321,0.564,12,6.7,1.2,0.5,20.3,20.6,0.601,6.9,3.8,3.3,yes
0.437,0.335,0.484,3.5,5.8,1.1,0.2,15.4,13.8,0.543,3.8,-1.2,0.4,no
0.475,0.371,0.519,3.1,4.4,1,0.2,24.3,18,0.573,3.5,-0.2,1,no
0.455,0.297,0.493,7.2,4.5,1.1,0.7,21.4,17.7,0.547,4.2,0.8,1.4,no
0.557,0.3,0.56,7.2,6.9,1.6,0.6,14.3,18.3,0.584,6,2.9,2.3,yes
0.398,0.33,0.489,3.5,5.7,1.5,0.5,13.1,13.8,0.539,3.3,-0.3,0.7,no
0.506,0.308,0.554,5.3,2.5,1.2,0.5,11.3,13.8,0.576,3.8,-1.4,0.3,no
0.459,0.386,0.53,7.4,4.3,1.2,0.5,26.4,21.3,0.576,6.5,3.9,3.4,yes
0.486,0.387,0.555,10.6,4.5,0.8,1.1,24.8,23.1,0.612,5.4,4.5,2.8,no
0.408,0.385,0.513,2.6,1.4,1,0.2,15.3,12.1,0.534,1.7,-2.3,-0.1,no
0.477,0.335,0.557,6.5,1,0.9,3.4,12.6,15.3,0.599,3.3,0.4,0.9,no
0.389,0.366,0.489,4.2,6.3,1.7,0.7,19.6,16.8,0.534,4.3,2.5,2.2,no
0.477,0.4,0.54,11.7,3.8,0.9,0.7,23.4,22.9,0.56,6.3,5.3,4.4,yes
0.42,0.36,0.514,4,4.9,1.1,0.3,19.3,17.7,0.559,3.3,2.1,1.4,no
0.404,0.317,0.458,3.2,6.9,1.1,0.8,20.6,15.4,0.503,-0.2,-0.7,0.4,no
0.44,0.386,0.522,6.5,2.5,1.1,1.2,12.9,13.4,0.549,2.7,-0.9,0.6,no
0.439,0.315,0.474,11.5,11.7,1.4,0.4,22.2,19.5,0.509,3.7,3.7,3.4,no
0.416,0.359,0.506,4.1,4.8,0.6,0.2,15.1,12,0.54,2.4,-2.4,-0.2,no
0.411,0.346,0.503,3,3.5,0.7,1,15.4,15,0.55,1.9,1.3,0.9,no
0.477,0.38,0.543,4.9,2.4,0.9,1,18.6,15,0.568,3.9,-0.4,1,no
0.611,0.294,0.616,7.2,3.7,0.9,0.6,27,27.1,0.649,8.7,5.8,4,yes
0.514,0.374,0.574,9.6,1.7,0.8,1.2,21,20,0.591,2.8,1.4,1.1,no
0.438,0.343,0.499,3.9,9.4,0.8,0.2,25.3,23,0.589,7.2,3.7,3,no
0.557,0.143,0.558,10.2,5.1,1.1,1.3,15.9,20.3,0.598,8.5,3.4,3.3,yes
0.493,0.389,0.532,7.4,2.4,0.7,1.6,18.9,19.7,0.571,4.5,1.4,1.5,no
